,Average_score,Episode,Q_average
0,0.0,0.0,0.0
1,0.0,500.0,-8748.10521293
2,0.0,1000.0,10.0689002723
3,0.0,1500.0,1637.85274065
4,0.0,2000.0,9.87729912996
5,0.0,2500.0,5.52278378606
6,0.0,3000.0,386.790661477
7,0.0,3500.0,405.575817585
8,0.0,4000.0,371.241043434
9,0.0,4500.0,347.743526071
10,0.0,5000.0,6.45601271093
11,0.0,5500.0,416.428701878
12,0.0,6000.0,395.570387177
13,0.06,6500.0,81.3073595092
14,0.0,7000.0,67.4522839636
15,0.02,7500.0,41.5394982696
16,0.01,8000.0,78.5709826946
17,0.02,8500.0,63.8753530383
18,0.01,9000.0,33.9833827689
19,0.01,9500.0,114.682324886
20,0.0,10000.0,57.9156264365
21,0.0,10500.0,74.9821628481
22,0.0,11000.0,65.239890039
23,0.0,11500.0,23.4789989889
